id,book,finish_date,myRating,myReview
1,3516056465,2018-01-01,0,
2,3515123152,2020-04-01,0,
3,3515117911,2015-01-01,0,
4,3515105708,2020-08-01,0,
5,3515100207,2019-01-01,0,
6,3515099933,2018-01-01,0,
7,3515099637,2018-01-01,0,
8,3515099147,2018-01-01,0,
9,3515098285,2018-01-01,0,
10,3515098036,2017-01-01,0,
11,3515097823,2017-01-01,5,A very enjoyable story with really great character development
12,3515097639,2017-01-01,0,
13,3515097401,2017-01-01,0,
14,3515097197,2017-01-01,0,
15,3515096900,2017-01-01,0,
16,3515096515,2017-01-01,0,
17,3515096233,2017-01-01,0,
18,3515096061,2017-01-01,0,
19,3515095176,2017-01-01,0,
20,3515094901,2017-01-01,0,
21,3515094729,2017-01-01,0,
22,3515094519,2017-01-01,0,
23,3515094332,2017-01-01,0,
24,3515094103,2017-01-01,0,
25,3515092831,2018-01-01,0,
26,3515092620,2017-01-01,0,
27,3515092473,2020-03-01,0,
28,3515092184,2019-01-01,0,
29,3515091373,2017-01-01,0,
30,3515090912,2018-01-01,0,
31,3515090908,2019-01-01,0,
32,3515090791,2018-01-01,0,
33,3515090729,2018-01-01,0,
34,3515090708,2018-01-01,0,
35,3515090679,2016-01-01,0,
36,3515090097,2019-10-01,0,
37,3515089990,2016-01-01,0,
38,3515089564,2016-01-01,0,
39,3515089039,2016-01-01,0,
40,3515088860,2016-01-01,0,
41,3515088406,2016-01-01,0,
42,3515088375,2016-01-01,0,
43,3515086871,2016-01-01,0,
44,3515086411,2015-01-01,0,
45,3515085535,2016-01-01,0,
46,3515085502,2016-01-01,0,
47,3515085479,2016-01-01,0,
48,3515084738,2015-01-01,0,
49,3515084318,2014-01-01,0,
50,3515083588,2013-01-01,0,
51,3515083170,2015-01-01,0,
52,3515077765,2013-01-01,0,
53,3515076062,2012-01-01,0,
54,3515076019,2012-01-01,0,
55,3515075977,2012-01-01,0,
56,3515075066,2014-01-01,0,
57,3515074196,2011-01-01,0,
58,3515074035,2010-01-01,0,
59,3515073675,2010-01-01,0,
60,3515073226,2010-01-01,0,
61,3515072739,2010-01-01,0,
62,3515072602,2010-01-01,0,
63,3515072564,2010-01-01,0,
64,3515071349,2010-01-01,0,
65,3515070244,2009-01-01,0,
66,3515069103,2009-01-01,0,
67,3515068606,2009-01-01,0,
68,3515066716,2008-01-01,0,
69,3515066157,2008-01-01,0,
70,3515065447,2008-01-01,0,
71,3515064063,2008-01-01,0,
72,3515063704,2008-01-01,0,
73,3515062881,2008-01-01,0,
74,3515062843,2008-01-01,0,
75,3515062815,2008-01-01,0,
76,3515062723,2008-01-01,0,
77,3515062697,2008-01-01,0,
78,3515062669,2008-01-01,0,
79,3515061958,2008-01-01,0,
80,3515060324,2008-01-01,0,
81,3515059545,2008-01-01,0,
82,3515057731,2008-01-01,0,
83,3515055919,2008-01-01,0,
84,1352784036,2013-01-01,5,
85,1352783955,2014-01-01,5,
86,1352783859,2014-01-01,5,
87,1352783320,2016-01-01,5,
88,1352782193,2016-01-01,5,
89,1352782001,2009-01-01,5,
90,1352781795,2009-01-01,4,
91,1352780878,2010-01-01,4,
92,1352780511,2009-01-01,5,
93,1352780331,2010-01-01,4,
94,1352779960,2011-01-01,4,
95,1352779774,2011-01-01,4,
96,1352779668,2011-01-01,4,
97,1352779471,2009-01-01,4,
98,1352779264,2009-01-01,4,
99,1352779130,2009-01-01,4,
100,1352779011,2009-01-01,4,
101,1352777620,2008-01-01,3,
102,1352777335,2008-01-01,4,
103,1352776915,2009-01-01,5,
104,1352776674,2008-01-01,5,
105,1352773998,2008-01-01,4,
106,1352771777,2013-01-01,2,
107,1352771536,2015-08-02,5,
108,1352771277,2015-08-02,1,
109,1352769948,2013-01-01,4,
110,1352769855,2011-01-01,3,
111,1352769768,2009-01-01,5,
112,1352769662,2012-01-01,3,
113,1352769540,2008-01-01,4,
114,1352769443,2009-01-01,5,
115,1352769103,2014-01-01,4,
116,1352767947,2012-01-01,4,
117,1352767833,2012-01-01,4,
118,1352767729,2011-01-01,4,
119,1352767240,2015-01-01,3,
120,1352767069,2012-01-01,3,
121,1352766800,2012-01-01,2,
122,1352766160,2014-01-01,0,
123,1352765908,2014-01-01,0,
124,1352765608,2014-01-01,3,
125,1352765198,2013-01-01,3,
126,1352764719,2014-01-01,2,
127,1352763084,2015-08-02,5,
128,1352762840,2014-01-01,3,
129,1352762419,2017-01-01,2,
130,1352761903,2014-01-01,4,
131,1352761525,2014-01-01,3,
132,1352761100,2014-01-01,4,
133,1352760743,2014-01-01,3,
134,1352760143,2014-01-01,5,
135,1352759209,2015-01-01,5,
136,1352759113,2014-01-01,5,
137,1352759024,2013-01-01,5,
138,1352758813,2015-09-01,0,
139,1352758678,2015-08-02,5,
140,1352758326,2015-08-02,5,
141,1352758000,2015-08-02,4,
142,64861508,2009-01-01,2,
143,64861471,2008-01-01,2,
144,64861374,2008-01-01,3,
145,64861359,2008-01-01,3,
146,64861346,2008-01-01,5,
147,64861306,2010-01-01,3,
148,64861285,2010-01-01,5,
149,64861262,2010-01-01,4,
150,64861241,2009-01-01,4,
151,64861207,2008-01-01,5,
